# BLASTN 2.12.0+
# Query: OX335166.1 Apilactobacillus kunkeei strain H3B2-03M genome assembly, chromosome: 1
# Database: User specified sequence set (Input: fna/new_isolate.fna)
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 622 hits found
OX335166.1	OX335140.1	99.997	1321651	21	14	1	1321649	1	1321631	0.0	2.440e+06
OX335166.1	OX335140.1	99.976	200531	46	2	1352179	1552708	1320200	1520729	0.0	3.700e+05
OX335166.1	OX335140.1	99.755	5308	11	2	1051463	1056769	443163	437857	0.0	9729
OX335166.1	OX335140.1	99.567	5310	13	2	437862	443170	1056752	1051452	0.0	9670
OX335166.1	OX335140.1	99.649	5129	17	1	379604	384732	683483	688610	0.0	9371
OX335166.1	OX335140.1	99.610	5129	19	1	683489	688616	379599	384727	0.0	9359
OX335166.1	OX335140.1	99.358	5138	28	5	80880	86015	379596	384730	0.0	9300
OX335166.1	OX335140.1	99.338	5138	29	5	379601	384735	80880	86015	0.0	9295
OX335166.1	OX335140.1	99.783	5062	9	2	683555	688615	80952	86012	0.0	9286
OX335166.1	OX335140.1	99.763	5062	10	2	80952	86012	683549	688609	0.0	9280
OX335166.1	OX335140.1	99.970	3345	0	1	685356	688699	439869	443213	0.0	6170
OX335166.1	OX335140.1	99.970	3345	0	1	439873	443217	685350	688693	0.0	6170
OX335166.1	OX335140.1	99.697	3296	9	1	1051463	1054758	688644	685350	0.0	6030
OX335166.1	OX335140.1	99.939	3261	2	0	381472	384732	439869	443129	0.0	6011
OX335166.1	OX335140.1	99.908	3261	3	0	439873	443133	381467	384727	0.0	6006
OX335166.1	OX335140.1	99.877	3264	3	1	1051496	1054758	384730	381467	0.0	6004
OX335166.1	OX335140.1	99.847	3264	5	0	1051495	1054758	86016	82753	0.0	6000
OX335166.1	OX335140.1	99.847	3260	5	0	439873	443132	82753	86012	0.0	5993
OX335166.1	OX335140.1	99.847	3260	5	0	82753	86012	439869	443128	0.0	5993
OX335166.1	OX335140.1	99.394	3299	10	2	685356	688653	1054741	1051452	0.0	5973
OX335166.1	OX335140.1	99.938	3240	2	0	381472	384711	1054741	1051502	0.0	5973
OX335166.1	OX335140.1	99.907	3240	3	0	82753	85992	1054741	1051502	0.0	5967
OX335166.1	OX335140.1	98.728	1887	16	8	683489	685369	1056835	1054951	0.0	3345
OX335166.1	OX335140.1	98.675	1887	17	8	1054968	1056852	685363	683483	0.0	3339
OX335166.1	OX335140.1	98.307	1890	25	7	1054968	1056854	381480	379595	0.0	3306
OX335166.1	OX335140.1	98.307	1890	25	7	379600	381485	1056837	1054951	0.0	3306
OX335166.1	OX335140.1	98.349	1878	17	11	683495	685369	437793	439659	0.0	3284
OX335166.1	OX335140.1	98.348	1877	17	13	437799	439663	379606	381480	0.0	3282
OX335166.1	OX335140.1	98.349	1878	16	14	379611	381485	437794	439659	0.0	3282
OX335166.1	OX335140.1	96.495	1997	45	19	1054968	1056952	82766	80783	0.0	3277
OX335166.1	OX335140.1	98.295	1877	19	10	437798	439663	683489	685363	0.0	3277
OX335166.1	OX335140.1	99.556	1800	5	3	80968	82766	1056748	1054951	0.0	3277
OX335166.1	OX335140.1	98.241	1876	19	13	437800	439663	80893	82766	0.0	3269
